_id,Yil,Ilce,Mahalle,Gelen Ariza,Cevaplanan Ariza
352,2022,ESENLER,BİRLİK MAH,479,479
353,2022,ESENLER,ÇİFTE HAVUZLAR MAH,52,52
354,2022,ESENLER,DAVUTPAŞA MAH,164,164
355,2022,ESENLER,FATİH MAH,772,772
356,2022,ESENLER,FEVZİ ÇAKMAK MAH,282,282
357,2022,ESENLER,HAVAALANI MAH,442,442
358,2022,ESENLER,KAZIM KARABEKİR MAH,705,705
359,2022,ESENLER,KEMER MAH,280,280
360,2022,ESENLER,MENDERES MAH,300,300
361,2022,ESENLER,MİMAR SİNAN MAH,99,99
362,2022,ESENLER,NAMIK KEMAL MAH,339,339
363,2022,ESENLER,NİNE HATUN MAH,409,409
364,2022,ESENLER,ORUÇREİS MAH,729,729
365,2022,ESENLER,TUNA MAH,750,750
366,2022,ESENLER,TURGUT REİS MAH,633,633
367,2022,ESENLER,YAVUZ SELİM MAH,76,76
368,2022,ESENLER,15 TEMMUZ,11,11
369,2022,ESENYURT,AKÇABURGAZ MAH.,178,178
370,2022,ESENYURT,AKEVLER MAH,77,75
371,2022,ESENYURT,AKŞEMSEDDİN MAH,116,116
372,2022,ESENYURT,ARDIÇLI MAH,127,126
373,2022,ESENYURT,AŞIK VEYSEL MAH,65,65
374,2022,ESENYURT,ATATÜRK MAH,80,80
375,2022,ESENYURT,BAĞLARÇEŞME MAH,230,230
376,2022,ESENYURT,BALIKYOLU MAH,170,170
377,2022,ESENYURT,BARBAROS HAYRETTİN PAŞA MAH,71,71
378,2022,ESENYURT,BATTALGAZİ MAH,98,98
379,2022,ESENYURT,CUMHURİYET MAH,24,24
380,2022,ESENYURT,ÇINAR MAH,266,264
381,2022,ESENYURT,ESENKENT MAH,72,72
382,2022,ESENYURT,FATİH MAH,250,250
383,2022,ESENYURT,GÖKEVLER MAH,45,45
384,2022,ESENYURT,GÜZELYURT MAH.,138,135
385,2022,ESENYURT,HÜRRİYET MAH,105,105
386,2022,ESENYURT,İNCİRTEPE MAH,260,260
387,2022,ESENYURT,İNÖNÜ MAH,167,167
388,2022,ESENYURT,İSTİKLAL MAH,144,144
389,2022,ESENYURT,KOZA MAH,52,52
390,2022,ESENYURT,MEHMET AKİF ERSOY MAH,126,126
391,2022,ESENYURT,MEHTERÇEŞME MAH,149,149
392,2022,ESENYURT,MEVLANA MAH,58,58
393,2022,ESENYURT,NAMIK KEMAL MAH,156,154
394,2022,ESENYURT,NECİP FAZIL KISAKÜREK MAH,94,94
395,2022,ESENYURT,ORHAN GAZİ MAH,269,269
396,2022,ESENYURT,OSMANGAZİ MAH,237,234
397,2022,ESENYURT,ÖRNEK MAH,96,96
398,2022,ESENYURT,PINAR MAH,346,346
399,2022,ESENYURT,PİRİ REİS MAH,46,46
400,2022,ESENYURT,SAADETDERE MAH,120,115
401,2022,ESENYURT,SELAHADDİN EYYUBİ MAH,232,232
402,2022,ESENYURT,SULTANİYE MAH,119,119
403,2022,ESENYURT,SÜLEYMANİYE MAH,148,148
404,2022,ESENYURT,ŞEHİTLER MAH,96,96
405,2022,ESENYURT,TALATPAŞA MAH,221,221
406,2022,ESENYURT,TURGUT ÖZAL MAH,156,156
407,2022,ESENYURT,ÜÇEVLER MAH,228,228
408,2022,ESENYURT,YENİKENT MAH,147,147
409,2022,ESENYURT,YEŞİLKENT MAH,168,168
410,2022,ESENYURT,YUNUS EMRE MAH,146,146
411,2022,ESENYURT,ZAFER MAH,88,88
412,2022,EYÜPSULTAN,AĞAÇLI MAH,88,88
413,2022,EYÜPSULTAN,AKPINAR MAH,187,187
414,2022,EYÜPSULTAN,AKŞEMSETTİN MAH,1045,1045
415,2022,EYÜPSULTAN,ALİBEYKÖY MAH,769,769
416,2022,EYÜPSULTAN,ÇIRÇIR MAH,1254,1254
417,2022,EYÜPSULTAN,ÇİFTALAN MAH,20,20
418,2022,EYÜPSULTAN,DEFTERDAR MAH,206,206
419,2022,EYÜPSULTAN,DÜĞMECİLER MAH,314,314
420,2022,EYÜPSULTAN,EMNİYETTEPE MAH,522,522
421,2022,EYÜPSULTAN,ESENTEPE MAH,518,518
422,2022,EYÜPSULTAN,GÖKTÜRK MERKEZ MAH,461,461
423,2022,EYÜPSULTAN,GÖKTÜRK-STANDARTDIŞI ADRES,1,1
424,2022,EYÜPSULTAN,GÜZELTEPE MAH,1025,1025
425,2022,EYÜPSULTAN,IŞIKLAR MAH,69,69
426,2022,EYÜPSULTAN,İHSANİYE MAH,27,27
427,2022,EYÜPSULTAN,İSLAMBEY MAH,471,471
428,2022,EYÜPSULTAN,KARADOLAP MAH,990,990
429,2022,EYÜPSULTAN,MERKEZ MAH,251,251
430,2022,EYÜPSULTAN,MİMAR SİNAN MAH,247,247
431,2022,EYÜPSULTAN,MİTHATPAŞA MAH,521,521
432,2022,EYÜPSULTAN,NİŞANCI MAH,418,418
