ILCE,MAHALLE,NUFUS_2022,NUFUS_2023
BEYOĞLU,GÜMÜŞSUYU,3262,3254
BEYOĞLU,HACIAHMET,16259,15578
BEYOĞLU,HACIMİMİ,1289,1228
BEYOĞLU,HALICIOĞLU,11956,11786
BEYOĞLU,HÜSEYİNAĞA,4440,5620
BEYOĞLU,KADIMEHMET EFENDİ,931,9061
BEYOĞLU,KALYONCU KULLUĞU,651,656
BEYOĞLU,KAMER HATUN,433,396
BEYOĞLU,KAPTANPAŞA,18197,17565
BEYOĞLU,KATİPMUSTAFA ÇELEBİ,7550,7950
BEYOĞLU,KEMANKEŞ KARAMUSTAFAPAŞA,512,475
